iteration,log loss,train result,test result
1,1.618084,0.539009,0.599797
2,1.235938,0.620436,0.626094
3,1.162814,0.638573,0.638964
4,1.121935,0.649949,0.644341
5,1.096734,0.656496,0.648454
6,1.071263,0.663509,0.652348
7,1.048601,0.670440,0.657592
8,1.031638,0.673701,0.659443
9,1.013057,0.679137,0.667729
10,1.003616,0.682684,0.668523
11,0.987543,0.687013,0.671314
12,0.976345,0.691124,0.675560
13,0.962045,0.694543,0.675677
14,0.950391,0.697013,0.677073
15,0.938021,0.700432,0.678660
16,0.931058,0.702308,0.682700
17,0.925164,0.704205,0.682435
18,0.911130,0.707658,0.685711
19,0.904645,0.709338,0.688444
20,0.890795,0.713893,0.687063
21,0.887142,0.715252,0.688826
22,0.872589,0.718816,0.692117
23,0.865638,0.720090,0.693130
24,0.854153,0.723748,0.695011
25,0.847288,0.726384,0.695554
26,0.840469,0.727513,0.699124
27,0.833607,0.729692,0.698008
28,0.825590,0.732504,0.697156
29,0.817802,0.734376,0.699771
30,0.809086,0.736577,0.701886
31,0.798904,0.738487,0.705074
32,0.793255,0.740051,0.704781
33,0.789198,0.741530,0.703150
34,0.780880,0.744192,0.701402
35,0.777287,0.744569,0.705456
36,0.766469,0.747855,0.705618
37,0.763656,0.748526,0.705677
38,0.758720,0.750782,0.708483
39,0.749523,0.752722,0.710628
40,0.736705,0.757077,0.710231
41,0.733663,0.757838,0.710246
42,0.723402,0.760573,0.711627
43,0.723181,0.759586,0.711289
44,0.711643,0.763077,0.712537
45,0.707883,0.764932,0.715182
46,0.698040,0.767231,0.714741
47,0.694901,0.767645,0.715534
48,0.690828,0.769919,0.714712
49,0.689168,0.770718,0.714550
50,0.677735,0.773577,0.714286
51,0.672490,0.774509,0.716695
52,0.670705,0.774889,0.717092
53,0.663675,0.778115,0.717959
54,0.657041,0.779218,0.719795
55,0.648254,0.781385,0.721102
56,0.645930,0.782987,0.718869
57,0.643713,0.783769,0.721602
58,0.639230,0.784282,0.721925
59,0.628367,0.787102,0.721147
60,0.623390,0.788509,0.720192
61,0.624862,0.788829,0.720250
62,0.619500,0.789885,0.722630
63,0.615824,0.791654,0.723615
64,0.608735,0.793534,0.724320
65,0.602565,0.795419,0.722072
66,0.597245,0.796812,0.724952
67,0.590852,0.798098,0.725657
68,0.585021,0.799803,0.728110
69,0.578959,0.801295,0.724907
70,0.579834,0.801667,0.724246
71,0.576005,0.802820,0.726891
72,0.569172,0.805675,0.727464
73,0.566412,0.805637,0.722748
74,0.562238,0.806709,0.724261
75,0.561385,0.807774,0.723806
76,0.553212,0.810440,0.726274
77,0.551028,0.809555,0.727860
78,0.545709,0.811376,0.728316
79,0.543268,0.812436,0.729653
80,0.539931,0.813389,0.729917
81,0.533677,0.816346,0.729344
82,0.530655,0.816094,0.728698
83,0.533712,0.815244,0.730182
84,0.527248,0.817880,0.728198
85,0.524318,0.818030,0.729374
86,0.519255,0.820197,0.731695
87,0.511571,0.821551,0.729814
88,0.507462,0.823372,0.727904
89,0.510639,0.822368,0.731137
90,0.501131,0.825701,0.730373
91,0.500488,0.825889,0.730020
92,0.496758,0.826816,0.732929
93,0.493474,0.828239,0.732694
94,0.493053,0.827282,0.732767
95,0.486117,0.830517,0.729374
96,0.483150,0.831658,0.732312
97,0.477414,0.832709,0.734031
98,0.477051,0.833389,0.732341
99,0.475705,0.833316,0.734501
100,0.475503,0.833436,0.735294
101,0.465360,0.836667,0.733428
102,0.467313,0.836620,0.736102
103,0.463056,0.837799,0.733737
104,0.459941,0.838936,0.735500
105,0.453169,0.840432,0.735103
106,0.452240,0.841137,0.733561
107,0.450462,0.841492,0.734280
108,0.447954,0.843701,0.735368
109,0.444434,0.843709,0.735485
110,0.443035,0.843705,0.736190
111,0.439634,0.844983,0.736646
112,0.437886,0.845385,0.735221
113,0.439778,0.845957,0.737410
114,0.429616,0.847889,0.735823
115,0.427412,0.849132,0.739863
116,0.424281,0.849992,0.736763
117,0.422026,0.850731,0.737042
118,0.423383,0.850363,0.735808
119,0.419809,0.851385,0.736881
120,0.415375,0.853000,0.737924
121,0.412039,0.853739,0.738688
122,0.411874,0.853547,0.737410
123,0.408824,0.855034,0.737865
124,0.406706,0.855436,0.739540
125,0.401084,0.857120,0.737983
126,0.402845,0.857496,0.739173
127,0.401097,0.857436,0.737733
128,0.398613,0.858748,0.740759
129,0.398347,0.858778,0.735338
130,0.396320,0.859021,0.735676
131,0.397043,0.859500,0.739466
132,0.390121,0.861320,0.738820
133,0.385698,0.862966,0.739217
134,0.387246,0.861868,0.739231
135,0.382201,0.863607,0.738012
136,0.377618,0.864316,0.736925
137,0.377718,0.865103,0.740216
138,0.373198,0.866410,0.737909
139,0.373817,0.866654,0.740098
140,0.375891,0.866226,0.737615
141,0.371780,0.867107,0.739613
142,0.368680,0.868299,0.738159
143,0.368398,0.868641,0.740700
144,0.364859,0.869334,0.740554
145,0.363577,0.870124,0.738761
146,0.361514,0.870748,0.741685
147,0.362060,0.870453,0.739231
148,0.357651,0.872564,0.740906
149,0.356101,0.872765,0.738908
150,0.353463,0.873748,0.740436
151,0.349590,0.874150,0.741846
152,0.347545,0.875479,0.741053
153,0.348989,0.874492,0.741141
154,0.348092,0.875684,0.740245
155,0.345630,0.874855,0.741376
156,0.341808,0.876799,0.741567
157,0.339430,0.878073,0.739070
158,0.340278,0.877936,0.741229
159,0.338410,0.878210,0.742449
160,0.335128,0.879573,0.743874
161,0.329179,0.881034,0.739790
162,0.331983,0.880085,0.741259
163,0.332551,0.879479,0.740142
164,0.332596,0.880855,0.742287
165,0.333203,0.879701,0.741744
166,0.327738,0.881940,0.740759
167,0.331430,0.881295,0.741861
168,0.331277,0.881615,0.740671
169,0.329393,0.881804,0.740216
170,0.326821,0.882748,0.739746
171,0.324936,0.882530,0.743565
172,0.319991,0.885462,0.741655
173,0.319770,0.884624,0.740157
174,0.325552,0.883107,0.741362
175,0.323748,0.883786,0.742625
176,0.318828,0.885338,0.743374
177,0.317994,0.885184,0.744667
178,0.318528,0.886017,0.742243
179,0.321631,0.884445,0.741112
180,0.319154,0.884628,0.742375
181,0.320683,0.884273,0.738982
182,0.320486,0.884231,0.742698
183,0.317851,0.885979,0.739599
184,0.315991,0.886099,0.741700
185,0.313927,0.886684,0.740936
186,0.313976,0.886654,0.741553
187,0.311371,0.887850,0.742787
188,0.309519,0.888436,0.742801
189,0.309116,0.888474,0.743683
190,0.308434,0.888513,0.741244
191,0.312149,0.887534,0.742728
192,0.309813,0.888611,0.741141
193,0.313108,0.887735,0.742610
194,0.307203,0.889167,0.740730
195,0.304954,0.890231,0.741832
196,0.308749,0.888927,0.740583
197,0.308618,0.888449,0.740054
198,0.306832,0.889449,0.741288
199,0.306714,0.889090,0.742272
200,0.308134,0.888927,0.741332
201,0.309069,0.889354,0.739804
202,0.306612,0.889585,0.741082
203,0.304286,0.890556,0.742566
204,0.298772,0.892906,0.741979
205,0.298219,0.892508,0.741229
206,0.298970,0.892641,0.742199
207,0.300721,0.891611,0.740510
208,0.298738,0.892487,0.740936
209,0.299234,0.891333,0.740172
210,0.300311,0.891479,0.741038
211,0.299010,0.892534,0.742361
212,0.295780,0.893569,0.739981
213,0.301663,0.891795,0.741450
214,0.297400,0.892889,0.743051
215,0.295112,0.893581,0.737645
216,0.299145,0.892744,0.741744
217,0.293261,0.894124,0.742801
218,0.294568,0.893517,0.739672
219,0.293898,0.894398,0.742155
220,0.297595,0.893385,0.740245
221,0.298377,0.893026,0.741127
222,0.294487,0.894355,0.740965
223,0.289125,0.895068,0.742875
224,0.289212,0.895410,0.742845
225,0.291661,0.895278,0.739966
226,0.293506,0.894966,0.741420
227,0.288545,0.895389,0.741626
228,0.293103,0.894688,0.742713
229,0.289982,0.895385,0.741523
230,0.290341,0.895436,0.742537
231,0.290015,0.895333,0.740906
232,0.291300,0.894590,0.739364
233,0.287605,0.896004,0.739937
234,0.284384,0.897184,0.743007
235,0.286086,0.897398,0.740759
236,0.285455,0.897842,0.740583
237,0.285592,0.896633,0.741479
238,0.287487,0.896628,0.738188
239,0.285765,0.897231,0.740539
240,0.284189,0.897355,0.741259
241,0.283030,0.897953,0.739217
242,0.283410,0.897603,0.739628
243,0.286402,0.897658,0.740377
244,0.285539,0.897415,0.739393
245,0.283948,0.898641,0.740642
246,0.283641,0.898547,0.740715
247,0.285789,0.897564,0.740891
248,0.284006,0.898466,0.741685
249,0.281601,0.897927,0.741832
250,0.282855,0.898607,0.741655
251,0.278303,0.899432,0.741009
252,0.280938,0.899162,0.740700
253,0.278000,0.899808,0.740994
254,0.279340,0.898987,0.741097
255,0.276797,0.900115,0.742111
256,0.278509,0.899825,0.739320
257,0.281417,0.898987,0.740421
258,0.279124,0.900406,0.741597
259,0.281109,0.899231,0.742978
260,0.276274,0.900697,0.740583
261,0.280249,0.899726,0.737983
262,0.281296,0.899726,0.741450
263,0.276015,0.901085,0.740921
264,0.276224,0.901466,0.739760
265,0.275286,0.900654,0.742258
266,0.271955,0.902013,0.739320
267,0.273771,0.901103,0.740465
268,0.276852,0.900534,0.741347
269,0.274900,0.901244,0.740128
270,0.273861,0.902000,0.741171
271,0.272615,0.901701,0.742919
272,0.276302,0.900739,0.740759
273,0.271910,0.901996,0.741347
274,0.273532,0.901261,0.739878
275,0.268569,0.903214,0.742214
276,0.268665,0.902645,0.741435
277,0.268448,0.903603,0.742037
278,0.272059,0.901987,0.741655
279,0.270920,0.903021,0.742199
280,0.271650,0.902295,0.740318
281,0.266755,0.903786,0.741068
282,0.264308,0.904573,0.741626
283,0.266851,0.904017,0.740480
284,0.269625,0.903522,0.739848
285,0.265575,0.904103,0.739408
286,0.269302,0.902910,0.738996
287,0.268142,0.904222,0.740598
288,0.267776,0.903470,0.740862
289,0.266862,0.904428,0.741141
290,0.264354,0.905085,0.740671
291,0.263752,0.905231,0.739907
292,0.267456,0.903902,0.737983
293,0.264021,0.904551,0.738409
294,0.268602,0.903961,0.741773
295,0.262141,0.905243,0.738820
296,0.265231,0.905491,0.739716
297,0.264453,0.904966,0.741597
298,0.263870,0.905261,0.740656
299,0.261752,0.905521,0.741464
300,0.266405,0.904457,0.740612
301,0.263785,0.905483,0.742081
302,0.265925,0.904218,0.741288
