iteration,log loss,train result,test result
1,0.047522,0.143974,0.577030
2,0.047347,0.143324,0.576710
3,0.047298,0.142926,0.576657
4,0.047261,0.143029,0.576177
5,0.047230,0.143221,0.576284
6,0.047201,0.143362,0.576817
7,0.047174,0.143397,0.576923
8,0.047148,0.143465,0.577136
1,0.047183,0.142849,0.591679
2,0.047161,0.142881,0.590560
3,0.047143,0.142808,0.590720
4,0.047124,0.142798,0.590773
5,0.047105,0.142865,0.591093
6,0.047086,0.142817,0.590880
7,0.047068,0.142779,0.591093
8,0.047050,0.142840,0.591466
9,0.047032,0.142875,0.591466
10,0.047015,0.142901,0.591626
11,0.046999,0.142949,0.591626
12,0.046983,0.142971,0.591626
13,0.046968,0.143000,0.591519
14,0.046953,0.142987,0.591466
15,0.046939,0.143051,0.591253
16,0.046925,0.143112,0.591359
17,0.046911,0.143144,0.591413
18,0.046898,0.143179,0.591359
19,0.046886,0.143234,0.591413
20,0.046873,0.143314,0.591359
21,0.046861,0.143365,0.591466
22,0.046850,0.143426,0.591519
23,0.046838,0.143449,0.591519
24,0.046827,0.143397,0.591466
25,0.046817,0.143474,0.591466
26,0.046806,0.143481,0.591466
27,0.046796,0.143545,0.591573
28,0.046786,0.143619,0.591626
29,0.046777,0.143622,0.591732
30,0.046767,0.143638,0.591999
31,0.046758,0.143679,0.592159
32,0.046749,0.143718,0.592265
33,0.046740,0.143821,0.592052
34,0.046731,0.143907,0.592105
35,0.046723,0.143952,0.592265
36,0.046715,0.143955,0.592265
37,0.046706,0.144038,0.592531
38,0.046698,0.144093,0.592691
39,0.046690,0.144128,0.592904
40,0.046683,0.144122,0.593011
41,0.046675,0.144179,0.592851
42,0.046668,0.144183,0.592904
43,0.046660,0.144205,0.592798
44,0.046653,0.144244,0.592798
45,0.046646,0.144285,0.592798
46,0.046639,0.144330,0.593011
47,0.046632,0.144378,0.593011
48,0.046625,0.144394,0.593171
49,0.046618,0.144442,0.593224
50,0.046612,0.144503,0.593224
51,0.046605,0.144558,0.593117
52,0.046599,0.144596,0.593330
53,0.046592,0.144603,0.593384
54,0.046586,0.144654,0.593117
55,0.046580,0.144686,0.593330
56,0.046573,0.144712,0.593330
57,0.046567,0.144785,0.593224
58,0.046561,0.144885,0.593384
59,0.046555,0.144897,0.593437
60,0.046550,0.144933,0.593490
61,0.046544,0.144946,0.593544
62,0.046538,0.144974,0.593544
63,0.046532,0.145003,0.593757
64,0.046526,0.145042,0.593810
65,0.046521,0.145067,0.593916
66,0.046515,0.145096,0.594023
67,0.046510,0.145090,0.594023
68,0.046504,0.145103,0.594023
69,0.046499,0.145128,0.593970
70,0.046494,0.145167,0.594236
71,0.046488,0.145186,0.594289
72,0.046483,0.145202,0.594343
73,0.046478,0.145192,0.594236
74,0.046472,0.145192,0.594449
75,0.046467,0.145256,0.594396
1,0.046411,0.145292,0.580918
2,0.046383,0.145388,0.581345
3,0.046380,0.145410,0.581238
4,0.046376,0.145474,0.581078
5,0.046373,0.145458,0.581025
6,0.046369,0.145490,0.581131
7,0.046365,0.145522,0.581131
8,0.046362,0.145548,0.581238
9,0.046358,0.145561,0.581078
10,0.046354,0.145558,0.581025
11,0.046350,0.145577,0.581185
12,0.046346,0.145574,0.581185
13,0.046342,0.145583,0.581185
14,0.046338,0.145590,0.581238
15,0.046334,0.145599,0.581291
16,0.046330,0.145580,0.581131
17,0.046327,0.145596,0.581078
18,0.046323,0.145612,0.581185
